objectid,cl,logradouro,codbairro,bairro,total_transações,uso,principais_tipologias,média_percentual_transferido,média_área_construída,média_valor_transação,média_valor_imóvel,principal_transação_mercado,ano_transação,cd_utilizacao,mês_transação
14469379,033902,ETR DO PAU FERRO,121,Pechincha                 ,16,RESIDENCIAL,APARTAMENTO,100,69.5625,231421.06875,231421.06875,COMPRA E VENDA,2012,01,4
14469380,033902,ETR DO PAU FERRO,121,Pechincha                 ,16,RESIDENCIAL,APARTAMENTO,100,62.1875,206045.64,206045.64,COMPRA E VENDA,2012,01,7
14469381,036764,RUA RETIRO DOS ARTISTAS,121,Pechincha                 ,9,RESIDENCIAL,APARTAMENTO,100,70.111111,238741.401111,238741.401111,COMPRA E VENDA,2012,01,2
14469382,036764,RUA RETIRO DOS ARTISTAS,121,Pechincha                 ,13,RESIDENCIAL,APARTAMENTO,100,75,261338.217692,261338.217692,COMPRA E VENDA,2012,01,5
14469383,036764,RUA RETIRO DOS ARTISTAS,121,Pechincha                 ,15,RESIDENCIAL,APARTAMENTO,100,67.466666,243046.800666,243046.800666,COMPRA E VENDA,2012,01,8
14469384,036764,RUA RETIRO DOS ARTISTAS,121,Pechincha                 ,7,RESIDENCIAL,APARTAMENTO,100,71.571428,265289.73,265289.73,COMPRA E VENDA,2012,01,11
14469385,036764,RUA RETIRO DOS ARTISTAS,121,Pechincha                 ,2,RESIDENCIAL,CASA,100,103,261567.05,261567.05,COMPRA E VENDA,2012,01,6
14469386,036764,RUA RETIRO DOS ARTISTAS,121,Pechincha                 ,2,RESIDENCIAL,CASA,100,104,232296.14,232296.14,COMPRA E VENDA,2012,01,12
14469387,037663,RUA SAMUEL DAS NEVES,121,Pechincha                 ,10,RESIDENCIAL,APARTAMENTO,100,65.5,194951.907,194951.907,COMPRA E VENDA,2012,01,4
14469388,037663,RUA SAMUEL DAS NEVES,121,Pechincha                 ,4,RESIDENCIAL,APARTAMENTO,100,58.75,147204.685,147204.685,COMPRA E VENDA,2012,01,7
14469389,038356,RUA CLAUDINO DE OLIVEIRA,121,Pechincha                 ,2,RESIDENCIAL,APARTAMENTO,100,74.5,166284.855,166284.855,COMPRA E VENDA,2012,01,5
14469390,040840,RUA PROF HENRIQUE COSTA,121,Pechincha                 ,11,RESIDENCIAL,APARTAMENTO,100,56.454545,173275.010909,173275.010909,COMPRA E VENDA,2012,01,2
14469391,040840,RUA PROF HENRIQUE COSTA,121,Pechincha                 ,20,RESIDENCIAL,APARTAMENTO,97.5,61.4,186985.912,189999.418,COMPRA E VENDA,2012,01,5
14469392,040840,RUA PROF HENRIQUE COSTA,121,Pechincha                 ,9,RESIDENCIAL,APARTAMENTO,94.444444,61.555555,176578.686666,183275.366666,COMPRA E VENDA,2012,01,12
14469393,051706,RUA MINIST GABRIEL DE PIZA,121,Pechincha                 ,2,RESIDENCIAL,APARTAMENTO,100,45,97777.32,97777.32,COMPRA E VENDA,2012,01,1
14469394,051706,RUA MINIST GABRIEL DE PIZA,121,Pechincha                 ,2,RESIDENCIAL,APARTAMENTO,100,82,285008.87,285008.87,COMPRA E VENDA,2012,01,11
14469395,103382,RUA PACO DO LUMIAR,121,Pechincha                 ,7,RESIDENCIAL,APARTAMENTO,100,70.285714,131230.424285,131230.424285,COMPRA E VENDA,2012,01,12
14469396,021337,RUA ANDRE ROCHA,122,Taquara                   ,2,RESIDENCIAL,APARTAMENTO,100,68.5,177528.89,177528.89,COMPRA E VENDA,2012,01,2
14469397,021345,ETR MERINGUAVA,122,Taquara                   ,3,RESIDENCIAL,APARTAMENTO,100,60.333333,139956.546666,139956.546666,COMPRA E VENDA,2012,01,2
14469398,021345,ETR MERINGUAVA,122,Taquara                   ,4,RESIDENCIAL,APARTAMENTO,100,60,156325.84,156325.84,COMPRA E VENDA,2012,01,9
14469399,021766,ETR MAL MIGUEL SALAZAR M MORAES,122,Taquara                   ,2,RESIDENCIAL,CASA,100,65,131855.23,131855.23,COMPRA E VENDA,2012,01,9
14469400,024331,ETR DOS BANDEIRANTES,122,Taquara                   ,6,RESIDENCIAL,APARTAMENTO,100,67.333333,189680.446666,189680.446666,COMPRA E VENDA,2012,01,3
14469401,024331,ETR DOS BANDEIRANTES,122,Taquara                   ,11,RESIDENCIAL,APARTAMENTO,100,66.636363,196948.222727,196948.222727,COMPRA E VENDA,2012,01,6
14469402,036954,ETR DO RIO GRANDE,122,Taquara                   ,26,RESIDENCIAL,APARTAMENTO,100,51.538461,175977.762307,175977.762307,COMPRA E VENDA,2012,01,6
14469403,036954,ETR DO RIO GRANDE,122,Taquara                   ,17,RESIDENCIAL,APARTAMENTO,100,55.470588,180371.227058,180371.227058,COMPRA E VENDA,2012,01,9
14469404,036954,ETR DO RIO GRANDE,122,Taquara                   ,12,RESIDENCIAL,APARTAMENTO,100,53,177971.958333,177971.958333,COMPRA E VENDA,2012,01,12
14469405,040931,ETR DOS TRES RIOS,120,Freguesia (Jacarepaguá)   ,4,RESIDENCIAL,CASA,100,265.5,432129.5025,432129.5025,COMPRA E VENDA,2012,01,4
14469406,040931,ETR DOS TRES RIOS,120,Freguesia (Jacarepaguá)   ,5,RESIDENCIAL,CASA,41.092,633.2,343598.522,1433516.282,COMPRA E VENDA,2012,01,7
